"call_sign","model","warning","status","days_left","log_time_left","log_time_type","cycles_left","expiry_date","timer_expiry_time","expiry_cycles","serial_number"
"DE-!A-035","B733","ARC","Missing","","","","","","","",""
"OY-LKI","P68","NEXT INSPECTION (Date/Flighthours)","Expired","-175","","","","31.10.2025","","",""
"OY-OCM","P68","Next inspection (Date/Flighthours)","Expired","-175","","","","31.10.2025","","",""
"OY-SUR","P68","Next inspection (Date/Flighthours)","Expired","-175","","","","31.10.2025","","",""
"OY-CAC","P68 Partenavia","NEXT INSPECTION (Date/Flighthours)","Expired","-1978","","","","23.11.2020","","",""
"OY-CAC","P68 Partenavia","ARC","Expired","-1825","","","","25.04.2021","","",""
"OY-BUF","Cessna 172","Next inspection (Date/Flighthours)","Expired","-67","","","","16.02.2026","","",""
"OY-CDP","TB9 Tampico","Next inspection (Date/flighthours/Landings)","Approved","11","14:10","airborne","","05.05.2026","6466:36","",""
"OY-CDR","TB10 Tobago","Next inspection (Date/flighthours/Landings)","Approved","8","14:12","airborne","","02.05.2026","5730:17","",""
"OY-CDR","TB10 Tobago","ARC","Approved","8","","","","02.05.2026","","",""
"OY-CDT","TB20 Trinidad","Next inspection (Date/flighthours/Landings)","Approved","","27:03","airborne","","","3891:42","",""
"OY-HHG","Robinson 44","Next inspection (Date/Flighthours)","Approved","27","19:05","airborne","","21.05.2026","2457:54","",""
"OY-HHG","Robinson 44","ARC","Approved","25","","","","19.05.2026","","",""
"OY-CDJ","TB9 Tampico","Next inspection (Date/flighthours/Landings)","Approved","","21:55","airborne","","","9938:54","",""
"OY-CDL","TB9 Tampico	","Next inspection (Date/flighthours/Landings)","Approved","","27:37","airborne","","","11953:30","",""
"OY-CAT","BN2 Islander","Next inspection (Date/Flighthours)","Approved","","7:46","airborne","","","13381:30","",""

